Data Collector,Field ID,Date,Sampling period,Crop,Treatment,Yield (bu/acre)
Katelyn Miller,MIL_COB,10/17/2025,Harvest,Soybean,Neonic,57.5
Katelyn Miller,MIL_COB,10/17/2025,Harvest,Soybean,Fung,54.7
Erik Smith,SMI_ARN_2,10/27/2025,Harvest,Soybean,Neonic,32.52
Erik Smith,SMI_ARN_2,10/27/2025,Harvest,Soybean,Fung,33.81
Janice Degni,DEG_LAF_2,10/15/2025,Harvest,Soybean,Neonic,50.99
Janice Degni,DEG_LAF_2,10/15/2025,Harvest,Soybean,Fung,42.18
Mike Stanyard,STA_FRE,10/6/2025,Harvest,Soybean,Neonic,35.7
Mike Stanyard,STA_FRE,10/6/2025,Harvest,Soybean,Fung,40.26
Mike Stanyard,STA_REE_2,9/30/2025,Harvest,Soybean,Neonic,48.43
Mike Stanyard,STA_REE_2,9/30/2025,Harvest,Soybean,Fung,57.79
Mike Stanyard,STA_REE_1,9/30/2025,Harvest,Soybean,Neonic,65.17
Mike Stanyard,STA_REE_1,9/30/2025,Harvest,Soybean,Fung,65.75
Janice Degni,DEG_PER_2,10/9/2025,Harvest,Soybean,Neonic,64.18
Janice Degni,DEG_PER_2,10/9/2025,Harvest,Soybean,Fung,58.59
