,Field ID,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Other Tree Crops,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
0,DEG_DIE_HILL,481,0,11,1,1,0,0,40,13,10,438,203,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,17,192,372,164,36,2,396,58,112,3,599,53,9,0,0,0,0,6,0,3220,1003,633,599,766,17
1,DEG_FOU_WOOD,991,0,7,0,0,0,0,2,0,0,331,470,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,166,76,6,0,0,445,29,82,1,560,53,5,0,0,0,0,1,0,3228,1335,615,560,248,0
2,DEG_PER_STRIP,708,1,125,0,0,0,0,173,6,4,300,200,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,156,62,8,2,0,863,43,107,2,447,18,0,0,0,0,0,0,0,3227,1319,1033,447,228,0
3,DEG_VIL,994,0,45,0,4,1,0,2,0,55,287,225,0,0,0,1,0,0,0,0,2,0,1,1,2,0,0,0,101,133,189,50,1,1,522,4,32,11,452,103,6,0,0,1,0,0,0,3226,1394,679,452,374,101
4,DIP_CUR,991,1,223,0,0,0,0,198,0,1,266,205,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,142,60,33,18,0,444,10,51,4,462,12,6,1,0,82,0,0,0,3211,1764,527,462,253,0
5,DIP_FLE,969,0,18,0,5,0,0,0,0,1,936,273,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,41,75,14,3,0,412,0,20,5,392,30,2,0,10,0,1,0,0,3220,1947,469,392,133,3
6,DIP_PAT,828,0,454,0,4,0,0,230,1,0,810,80,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,42,102,25,3,5,403,2,3,0,174,59,1,1,1,0,5,1,0,3241,2338,473,174,177,2
7,GAB_ALL,56,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,333,209,264,192,43,7,666,36,556,5,203,627,8,0,0,0,0,0,0,3235,71,1905,203,715,333
8,GAB_HEN,881,1,352,0,0,0,0,0,3,12,558,97,0,0,0,0,0,3,2,7,3,0,1,12,0,0,0,0,5,28,104,97,37,18,322,89,205,3,365,40,0,0,0,0,0,0,0,3245,1832,677,365,284,5
9,GAB_STE,125,0,0,0,0,0,0,0,0,0,144,43,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,44,32,26,16,5,18,1566,576,285,1,284,64,9,0,0,0,0,0,0,3242,271,2519,284,97,44
10,HUN_PLE_9,100,0,6,0,0,0,0,10,0,1,11,1353,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,86,13,0,0,98,10,4,2,1512,64,15,2,0,0,0,0,0,3309,130,193,1512,117,0
11,KAT_HAB_3,726,0,241,0,0,0,0,21,1,1,36,468,0,2,0,0,0,0,1,0,1,0,0,40,0,0,0,0,0,191,101,18,2,0,593,23,341,0,367,40,2,3,0,1,0,0,0,3220,1073,999,367,312,0
12,KAT_HAB_4,877,0,201,0,0,0,0,2,0,1,43,600,0,10,1,0,0,0,1,0,0,0,1,11,0,0,0,0,0,177,22,13,4,0,404,94,235,0,505,14,1,0,0,0,0,0,0,3217,1148,748,505,216,0
13,KAT_JEF,182,0,5,0,0,0,0,8,0,0,13,720,0,5,0,1,0,0,8,0,2,0,0,0,0,0,0,0,0,120,99,45,10,1,611,145,433,1,655,137,6,3,0,0,0,0,0,3210,225,1334,655,275,0
14,KAT_JEF_2,294,0,24,0,0,0,0,0,0,0,44,450,0,6,0,0,0,3,2,0,0,0,0,3,1,0,0,0,8,59,41,11,2,0,467,41,162,1,564,803,217,1,0,0,0,0,0,3204,378,1691,564,113,8
15,KAT_MAH,1989,0,21,0,0,1,0,33,1,12,176,83,1,3,6,0,0,4,0,0,1,0,0,1,0,0,0,0,8,107,75,48,14,9,290,2,65,0,261,1,0,2,0,0,0,0,0,3214,2250,367,261,253,8
16,KAT_SAU,464,21,83,0,0,0,0,158,0,5,61,613,3,0,0,0,0,1,15,0,0,0,0,0,0,0,0,1,1,223,30,7,2,0,726,29,123,0,599,3,0,0,0,25,0,0,0,3193,836,881,599,262,2
17,KAT_SAU_3,462,21,17,0,0,0,0,147,0,5,72,536,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,179,27,7,3,0,1035,13,103,0,552,3,0,0,0,0,0,0,0,3191,731,1154,552,216,2
